"","mpa","CT.sp.assessed","housing & urban dvlpt","commercial & industrial dvlpt","tourism & recreation dvlpt","crops","livestock farming","oil & gas production","roads & rail","shipping","recreational activities","work disturbance","invasive intoduction","domestic waste water","agricultural effluent","excess energy","seine","trawl","gillnet","longline","pole.line","jigger","trap","pot","dredge","bivalve_production","crustaceans_production","marine_fish_general_production","salmon_production","shrimp_production","tuna_production","tot.sp"
"1911","101651",46,0,0,0.887610993657505,0,0,0,0,3.67087129175426,1.33141649048626,0,0,3.00577420853521,3.67372403265415,3.45929798356983,4.39584775086505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
"1912","101659",61,0,0,0.707568710359408,0,0,0,0,2.99859845830413,1.17928118393235,0,0,5.91630716134599,4.09590495785491,2.15896724634589,0,7.08278145695364,0,4.25408687529192,0,0,0,0,0,0,0,0,0,0,0,116
"1913","101669",77,0,0,0.659619450317125,0,0,0,0,3.45900490539594,0.79154334038055,0,0,2.86838786752505,2.25373332448397,1.84103275365411,0,11.3634105960265,0,0,0,0,0,0,0,0,0,0,0,0,0,136
"1914","101679",42,0,0,3.33530655391121,0,0,0,0,1.46788133613642,5.00295983086681,0,0,2.92958120395566,2.92958120395566,0.746399231836125,0,2.06870860927152,0,0.986454927603923,0,0,0,0,0,0,0,0,0,0,0,67
"1915","101683",96,0,0,0,0,0,0,0,2.41882737678113,0,0,0,2.49021039357536,2.17893409437844,2.38045449695935,0,1.8398178807947,0,0,0,0,0,0,0,0,0,0,0,0,0,186
"1916","101688",41,0,0,0,0,0,0,0,1.17495912170054,0,0,0,0.906617110240924,0.543970266144554,0.319001386962552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
"1917","101705",65,0,0,2.34799154334038,0,0,0,0,2.97266993693062,2.34799154334038,0,0,0.093183779119931,0.0645118470830291,2.11031686759842,4.77785467128028,11.5523592715232,0,7.11816907986922,0,0,0,0,0,0,0,0,0,0,0,113
"1918","101709",65,0,0,0.930655391120507,0,0,0,0,0,0.930655391120507,0,0,0.911130284728214,0.630782504811841,0.136562466659554,4.42629757785467,0,0,4.9098552078468,0,0,0,0,0,0,0,0,0,0,0,113
"1919","101713",26,0,0,0.87906976744186,0,0,0,0,0,0.293023255813953,0,0,2.84422910997544,2.84422910997544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"1920","101768",1142,392.544,390.688,325.411162790698,3.22868953189588,1.1395374818456,0,2.784,0,261.015813953488,0,0,80.754496581934,78.2887104267605,0,0,0,0,0,0,0,0,0,0,1.1106447920641,0,0,0,0,0,2186
"1921","101769",1549,0,0,353.320761099366,4.97106468551,1.55345771422187,0,0,0,290.17978858351,0,0,257.2344859627,254.365699873897,0,9.44636678200692,0,70.3804277381724,85.415693601121,0,0,0,0,0,19.8645555131629,0,20.6869834710744,0,0,0,3375
"1922","101775",1527,0,0,209.164312896406,0,0,0,0,0,169.284735729387,0,0,4.42384018052698,4.34857635893011,0,0,0,73.7064160725859,113.813638486688,0,0,5.76223175965665,13.1708154506438,0.18544061302682,0,0,0,0,0,0,3287
"1923","101777",1426,409.793806451613,406.923096774194,478.121099365751,7.59501731650095,2.68059434700034,0,2.15303225806452,0,390.190782241015,0,0,278.926129952877,273.702794185969,0,0,0,0,0,0,0,0,0,0.0613026819923372,0,0,23.9028925619835,0,0,0,2799
"1924","101778",1226,364.48464516129,363.714064516129,323.545031712474,13.5946821584181,4.79812311473578,0,2.31174193548387,28.0981079187106,259.896828752643,0,0,435.032056812902,421.283865401208,0.787474661261069,18.6176470588235,151.543874172185,0,77.2713685193835,0,0,0,0,0,0,0,0,0,0,0,2339
"1925","101779",1480,0,0,474.802706131078,11.8018098536476,4.16534465422858,0,0,37.9752394300397,389.72245243129,0,0,193.795181522533,189.44023362315,1,28.00276816609,0,87.749189889825,0,0,0,0,0,0,34.6974437237696,0,25.7086776859504,0,0,0,3016
"1926","101780",1488,454.976516129032,451.64335483871,322.249978858351,8.64908948720813,3.05261981901463,0,2.49987096774194,0,263.074334038055,0,0,293.974381097763,288.806862680029,0,0,0,61.1957226182761,106.954694068192,0,0,0,0,0,22.8981304845479,0,19.2272727272727,0,0,0,3170
"1927","101798",1269,0,0,323.915856236786,5.01530555245224,0.557256172494693,0,0,152.514015416959,261.652854122622,0,0,374.032786885246,372.320966350302,8.37938760268857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617
"1928","101803",1279,113.011870967742,112.510709677419,266.954418604651,7.26980225673109,0.908725282091386,0,0.501161290322581,259.018220042046,213.308076109937,0,0,406.986460476538,409.900444680427,16.9783420463032,0,0,0,0,0,0,0,0,0,23.9595574208317,16.1904761904762,31.2954545454545,0,30.5190476190476,0,2648
"1929","101808",1375,0,0,258.824947145877,0,0,0,0,0,218.512389006343,0,0,0,0,1.33564493758669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2653
"1930","101909",310,0,0,0,0,0,0.996750609260764,0,41.2249474421864,0,1.32900081234768,0,0.983075595672662,0.972389991371872,8.44105409153953,0,9.73013245033112,0,13.3535730966838,0,0,0,0,0,0,0,0,0,0,0,586
"1931","101921",188,31.1483870967742,30.2322580645161,22.7906976744186,0,0,0,0,13.9018920812894,13.3488372093023,0,0,43.4262295081967,43.4262295081967,2.68558625840179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,356
"1932","101981",6,0,0,0,0,0,0,0,0,0,0,0,0.689719253998805,1.72429813499701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"1933","101984",4,0,0,0,0,0,0,0,0,0,0,0,0.550607287449393,1.65182186234818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1934","101985",1,0,0,0,0,0,0,0,0,0,0,0,0,0.84476007167983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1935","101990",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1936","101992",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1937","101993",1,0,0,0,0,0,0,0,0,0,0,0,0,0.434127563549479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1938","102001",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1939","102048",74,0.710709677419355,1.65832258064516,1.15517970401691,0.81610993185119,0,0,0,0,3.46553911205074,0,0,7.03258777460676,5.62607021968541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
"1940","102049",76,13.8338064516129,14.821935483871,5.0445665961945,0,0,0,0,0.307171221677178,1.26114164904863,0,0,10.5448994491272,8.43591955930179,0.333297770190974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
"1941","102190",60,0,0,1.87196617336152,1.852083566082,0.926041783041001,0,0,8.6837187572997,2.80794926004228,0,0,5.81622088006903,10.3399482312338,7.03126000213379,5.67820069204152,19.8228476821192,15.7252106286455,13.1293787949556,0,0,8.18111587982833,16.3622317596567,0.957088122605364,0,0,0,0,0,0,101
"1942","102192",31,0,0,0.875602536997886,0.741816556809295,0.741816556809295,0,0,0,0.875602536997886,0,0,3.98168182119865,5.47481250414814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"1943","102195",31,0,0,0,0,0,0,0,0,0,0,0,0.537333244839716,1.20899980088936,0.284220633735197,0.0352941176470588,3.68998344370861,5.62864549578743,0,0,0,0,0,0.494252873563218,0,0,0,0,0,0,50
"1944","102215",345,0,0,18.1283720930233,4.02435482069043,0.574907831527204,0,0,0,5.35610993657505,0,0,34.1669874560297,33.3534877546957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,899
"1945","102216",349,22.5597419354839,21.7163870967742,30.846511627907,3.95631772986259,0.565188247123226,0,0.421677419354839,11.1605933193179,9.11374207188161,0,0,35.3349704652552,34.4936616446539,3.39379067534407,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4285714285714,0,925
"1946","102245",21,0,0,1.1984778012685,1.69120768629203,0.845603843146017,0,0,0,0.399492600422833,0,0,5.77208468839185,8.24583526913121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"1947","102300",359,0,0,61.956955602537,0,0,0,0,0,21.7870613107822,0,0,24.0575429747129,24.5921550408177,3.19097407446922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929
"1948","102310",343,0,0,66.4728118393235,0.818791196514356,0.116970170930622,0,0,9.00911002102313,22.4696828752643,0,0,25.6408707771952,28.7488551138249,9.45001600341406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900
"1949","102322",359,0,0,51.5910359408034,0,0,0,0,12.778089231488,18.1419027484144,0,0,32.1364571580275,32.8506006504281,6.81382694974928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929
"1950","102328",17,0,0,0.976744186046512,0.885934532454474,0.885934532454474,0,0,0,0.325581395348837,0,0,4.58631446206942,6.87947169310413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"1951","102368",470,0,0,82.5615221987315,0,0,0,0,0,47.1780126849894,0,0,57.5894338620827,57.0135395234619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"83","1024",592,7.12258064516129,6.74270967741935,113.828752642706,3.33482292481287,1.00044687744386,0,0.0949677419354839,42.2106984349451,57.3298097251586,0,0,125.626667551603,122.705117143426,5.85170169636189,11.3885813148789,0,0,0,0.706164931945556,0,0,0,0,0,0,0,0,0,0,1555
"1953","102534_A",833,0,0,0,0,0,0,0,58.8729268862415,0,0,0,0,0,3.74010455563854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1802
"1952","102534_B",833,0,0,0,0,0,0,0,75.4629759402009,0,0,0,0,0,4.91624879974395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1802
"1954","102565",122,0,0,5.40380549682875,1.66193721371914,0,0,0,0.674491941135249,2.70190274841438,0,0,6.65348111767439,5.54456759806199,0.251360290195242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
"1955","102598",1104,0,0,118.677378435518,0,0,0,0,0,93.246511627907,0,0,32.6081502621623,32.7758014203226,0,0,5.43046357615894,0,0,0,0,0,0,0,0,0,0,0,0,0,2095
"1956","102604",1120,0,0,102.761606765328,0,0,0,0,73.2655921513665,80.5358139534884,0,0,105.260038494724,105.80122121192,2.5861517123653,0,50.872309602649,0,0,0,0,0,0,0,19.8302174742465,0,0,0,0,0,2144
"1957","102876",315,20.664,18.6642580645161,26.8835517970402,1.70952966149034,0.854764830745168,0,0.66658064516129,1.56867554309741,19.467399577167,0,0,35.7917966416672,34.824450786487,0.67801130907927,40.3764705882353,70.9023178807947,11.6817887232664,21.4105558150397,0,0,0,0,0,7.6520412056467,0,4.52066115702479,0,0,3.91836734693878,521
"1958","102877",230,16.7225806451613,16.7225806451613,21.1327695560254,1.00055859680483,0.500279298402413,0,0.696774193548387,0.883905629525812,11.9446088794926,0,0,26.0723435322227,24.3902568527245,0.935879654326256,46.3598615916955,0,34.8684381075826,4.96029892573564,0,0,0,0,0,0,0,0,0,0,0,384
"1959","102880",268,0,0,19.1857928118393,0.791419953077868,0.791419953077868,0,0,4.80647045082925,12.7905285412262,0,0,20.267471958585,23.2700603968939,7.79494292115651,26.2318339100346,0,52.0845755022683,27.8724894908921,0,0,0,0,0,0,0,0,0,0,0,518
"488","10289",826,0,0,60.7144186046512,0,0,0,0,17.8135949544499,47.313488372093,0,0,35.2942191544435,33.2640207075065,1.53984850101355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1559
"1960","103157",453,10.0077419354839,9.65032258064516,84.0025369978858,2.83644285554687,0.405206122220981,0,0.142967741935484,17.5706610604999,35.1805496828753,0,0,61.112497511117,64.4158757549612,8.23471673957111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206
"1961","103168",429,0,0,109.547230443975,0,0,0,0,4.01121233356692,53.8756871035941,0,0,100.363045065375,98.5382624278224,1.75237383975248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940
"1962","103171",554,0,0,35.0383086680761,0,0,0,0,46.0282644242,19.6109936575053,0,0,16.0302648171501,15.7892082033583,10.0209111277072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615
"84","1033",194,1.09341935483871,1.09341935483871,14.1412262156448,0.605965813875545,0,0,0,8.74001401541696,12.2557293868922,0,0,9.85995885046791,11.0924537067764,14.26469646858,30.4055363321799,38.9056291390729,0,37.3246146660439,0.926341072858287,0,0,0,0,3.22968332697444,0,0,0,0,0,511
"1963","103337",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1964","103338",1,0,0,0,0,0,0,0,0,0,0,0,0,0.599057542974713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1965","103345",71,0,0,0,0.13774997207016,0.13774997207016,0,0,2.63746788133614,0,0,0,15.4621357934559,21.8288975907613,1.66648885095487,0,0,3.9050550874919,0,0,0,0,0,0,0,0,0,0,0,0,95
"1966","103352",18,2.06761290322581,1.55070967741935,1.05158562367865,0.261423304658697,0.130711652329349,0,1.0338064516129,0,0.350528541226216,0,0,3.53660317249618,5.89433862082697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"1967","103356",4,0,0,0.984693446088795,0.456150150821137,0.456150150821137,0,0,0,0.492346723044397,0,0,1.02807460011947,1.5421119001792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1968","103358",7,0,0,0.26384778012685,0.429560942911407,0.429560942911407,0,0,0,0.131923890063425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1969","103359",10,0.179096774193548,0.0895483870967742,1.96380549682875,0.973969388895096,0.973969388895096,0,0.0895483870967742,0,0.981902748414376,0,0,2.87250282073405,5.02687993628459,1.34748746399232,0,1.80794701986755,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"489","10339",1378,352.138322580645,347.752258064516,499.855052854123,6.44397274047592,2.01374148139873,0,1.25316129032258,322.779957953749,404.366173361522,0,0,489.110307294086,478.862281807925,8.91102101781713,0,192.123344370861,0,0,0,0,0,0,0,39.1117893933613,26.6190476190476,0,0,34.7071428571429,0,2714
"1970","103394",7,0,0,0.0861733615221987,0,0,0,0,0,0,0,0,0.891484701665892,2.22871175416473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"1971","103396",8,0,0,0,0,0,0,0,0,0,0,0,2.23959646910467,4.47919293820933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"490","10340",1258,175.148387096774,172.919225806452,488.455813953488,2.35951290358619,0.737347782370685,0,0.636903225806452,335.19703340341,395.784355179704,0,0,492.834008097166,483.31983805668,6.7897151392297,56.6709342560554,152.666804635762,0,0,0,0,0,0,1.19233716475096,39.5608546356353,34.1666666666667,31.0888429752066,0,38.1690476190476,0,2390
"491","10341",1105,364.719225806452,357.755612903226,275.012600422833,5.65411685845157,1.50776449558709,0,1.74090322580645,9.78790002335903,222.523636363636,0,0,322.427225061392,306.597464657862,0.325082684305985,0,100.514900662252,0,19.7337692666978,0.416333066453163,0,0,0,0,0,0,0,0,0,0,2085
"1972","103413",105,0,0,5.51780126849894,0.580046922131605,0.580046922131605,0,0,0,4.82807610993657,0,0,6.15935488152917,9.42018981880932,1.04086205057079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
"1973","103414",61,4.27225806451613,5.49290322580645,3.84659619450317,0,0,0,1.22064516129032,1.6715720626022,3.20549682875264,0,0,10.1773412092653,13.81210592686,0.973861090365945,0,13.0480132450331,4.45333765392093,0,0,0,0,0,0,0,0,0,0,0,0,84
"1974","103416",63,0,0,4.40778012684989,0.723718020332924,0.361859010166462,0,0,1.56412053258584,3.14841437632135,0,0,8.13685537930577,11.0428751576293,0.915822042035634,0,11.3514072847682,0,0,0,0,1.72360515021459,2.36995708154506,0,0,0,0,0,0,0,86
"1975","103417",30,1.55070967741935,2.58451612903226,2.50993657505285,0,0,0,0,2.30693763139453,1.25496828752643,0,0,3.46890555518683,5.20335833278025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"1976","103418",73,0,0,3.27238900634249,0.911183108032622,0.455591554016311,0,0,0,2.80490486257928,0,0,7.37565540585385,9.97882790203757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1977","103419",105,1.59870967741935,2.74064516129032,6.883044397463,0.917662830968607,0.917662830968607,0,0.228387096774194,6.82831114225648,6.02266384778013,0,0,14.806597199177,22.6453839516825,5.19726875066681,0,37.8079470198676,21.4679196370706,0,0,0,5.34592274678112,8.90987124463519,0,0,0,0,0,0,0,147
"1978","103420",30,0,0,2.07120507399577,0,0,0,0,0,1.03560253699789,0,0,2.33158558438973,3.49737837658459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"1979","103422",105,0,0,3.73987315010571,0.0169813428667188,0.0169813428667188,0,0,1.25017519271198,3.27238900634249,0,0,8.61452180261499,13.1751509922347,0.911554464952523,0,23.5927152317881,1.89565780946209,0,0,0,0,0,0,0,0,0,0,0,0,147
"1980","103423",61,0,0,3.58934460887949,0.910736230588761,0.455368115294381,0,0,1.04788600794207,2.99112050739958,0,0,10.4932634233756,14.2408575031526,0.586578470073616,0,7.1523178807947,0,0,0,0,4.60085836909871,6.32618025751073,0,0,0,0,0,0,0,84
"1981","103547",210,0,0,12.5723467230444,1.83979443637582,0.919897218187912,0,0,0,9.67103594080338,0,0,13.6340346452512,13.2655472224066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347
"1982","103548",563,31.6931612903226,30.1197419354839,98.1953488372093,6.63411909283879,2.21137303094626,0,0.224774193548387,6.02032235459005,58.1618604651163,0,0,119.245038826575,117.424503882657,6.57740317934493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629
"1983","103550",3,0,0,0,0,0,0,0,0.957136183134782,0,0,0,0.998606225525984,0.998606225525984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"492","10376",1524,0,0,414.866131078224,1.06669645849626,0.228577812534912,0,0,224.902592852137,338.519238900634,0,0,417.034047919294,412.785823322493,6.17987837405313,0,144.450331125828,0,67.1910322279309,0,0,0,0,0,35.2727966425029,0,26.2086776859504,0,35.9357142857143,0,3178
"493","10412",13,0,0,1.06832980972516,0.115517819238074,0.057758909619037,0,0,0,0.356109936575053,0,0,3.6632375389925,5.49485630848875,0.688786941214126,0,0.262210264900662,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"494","10413",13,0,0,0.932854122621565,0,0,0,0,0,0.310951374207188,0,0,3.94477998274374,5.91716997411562,0.612610690280593,0,0.653766556291391,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"495","10414",12,0,0,0.558393234672305,0,0,0,0,0,0.186131078224101,0,0,3.84681754828433,6.15490807725493,0.601835058145738,0,0.780008278145695,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"496","10418",18,0,0,0.85014799154334,0.433024243101329,0.216512121550665,0,0,0,0.28338266384778,0,0,4.16858034114289,6.94763390190483,0.61325082684306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"497","10419",22,0,0,1.11399577167019,0.826052954977098,0.413026477488549,0,0,0,0.371331923890063,0,0,5.73863410101546,9.01785358731002,0.922436786514456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"498","10420",8,0,0,0.746638477801268,0,0,0,0,0,0.248879492600423,0,0,2.64286188358665,3.7000066370213,0.158433799210498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"499","10421",16,0,0,0.258520084566596,0.451569657021562,0.225784828510781,0,0,0,0.0861733615221987,0,0,4.44733523594611,7.41222539324351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"500","10423",9,0,0,1.40879492600423,0,0,0,0,0,0.469598308668076,0,0,2.25658724364505,3.15922214110307,0.351755041075429,0,0.579263245033113,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"501","10424",9,0,0,1.51864693446089,0,0,0,0,0,0.506215644820296,0,0,2.78091192672728,3.8932766974182,0.226608343113197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"502","10425",16,0,0,0.707568710359408,0.0484862026589208,0.0242431013294604,0,0,0,0.235856236786469,0,0,4.73126700736709,7.88544501227849,1.09378000640137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"503","10427",13,0,0,0.976744186046512,0,0,0,0,0,0.325581395348837,0,0,4.27371075861154,6.4105661379173,0.633948575696148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"504","10428",6,0,0,0.371331923890063,0,0,0,0,0,0,0,0,1.77507134797903,2.95845224663171,0,0,0.214610927152318,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"505","10429",61,0,0,2.64355179704017,0,0,0,0,0,2.20295983086681,0,0,9.45536603172496,12.8322824716267,0.674703936839859,0,16.7980132450331,2.28062216461439,0,0,0,2.48583690987124,3.41802575107296,0,0,0,0,0,0,0,84
